Cell_name	Zvalue	Color	Cluster	POU2F1	SNAPC1
MGH36_P6_A12	NA	black	0	0	1.0136
MGH36_P6_H09	NA	black	0	0	0
MGH53_P4_G04	NA	black	0	0.17249	0
MGH36_P10_G12	0.115598293976	red	1	0.22157	0.92067
MGH53_P2_H12	NA	black	0	0.044044	0
MGH53_P4_D10	NA	black	0	0	0.45943
MGH53_P4_D01	NA	black	0	0	0
MGH36_P6_B07	0.610775482786	green3	2	0.067639	0.26784
MGH36_P10_B12	0.528586854982	green3	2	0.13488	0.33457
MGH53_P2_G11	0.41268797722	green3	2	0.05797	0.54399
MGH53_P1_E04	0.497854394797	green3	2	0.089498	0.40926
MGH54_P2_C12	NA	black	0	0.066261	0
MGH53_P4_B07	0.616218205683	green3	2	0.16736	0.1776
MGH53_P4_F09	0.5844608917	green3	2	0.1635	0.22897
MGH36_P2_H11	NA	black	0	0	0
MGH36_P5_A11	NA	black	0	0.074505	0
MGH53_P1_A09	NA	black	0	0.15704	0
MGH53_P2_B02	0.384368342699	red	1	0.20914	0.50284
MGH53_P4_E04	NA	black	0	0.096262	0
MGH53_P4_D08	0.567990378712	green3	2	0.18396	0.23634
MGH36_P1_F07	0.618652206155	green3	2	0.029983	0.28451
MGH53_P2_E11	-0.124901818917	red	1	0.24367	1.3033
MGH36_P1_G06	0.367307332845	red	1	0.35389	0.42975
MGH36_P6_F03	NA	black	0	0	0
MGH54_P2_H06	0.482481789724	green3	2	0.084064	0.43403
MGH36_P8_H12	NA	black	0	0.39944	0
MGH53_P1_B06	NA	black	0	2.8626	0
MGH53_P4_F12	NA	black	0	0.14926	0
MGH53_P4_G12	NA	black	0	0.16736	0
MGH53_P2_E08	-0.0402115369546	red	1	1.0349	1.5195
MGH53_P1_F06	NA	black	0	0	0.61259
MGH53_P1_D02	NA	black	0	0	1.0922
MGH36_P9_D01	NA	black	0	0.15186	0
MGH36_P6_F02	-1.68628060958	red	1	0.20539	3.6474
MGH53_P2_E07	NA	black	0	0	0.68347
MGH53_P4_H08	-0.640426850174	red	1	3.23	0.67265
MGH36_P6_F11	0.548321831065	green3	2	0.041243	0.37072
MGH36_P8_C08	NA	black	0	0.075875	0
MGH53_P2_D10	NA	black	0	0	5.0017
MGH53_P4_D03	NA	black	0	0	0
MGH53_P2_C04	0.238732984233	red	1	0.62854	0.4489
MGH53_P1_E08	NA	black	0	0	0
MGH54_P2_A08	NA	black	0	0.041243	0
MGH36_P4_H07	0.441845301975	green3	2	0.089498	0.48749
MGH36_P9_D06	NA	black	0	0	0
MGH53_P4_C04	NA	black	0	2.6738	0
MGH53_P1_E10	0.152511452887	red	1	0.12697	0.88284
MGH53_P2_E09	0.615637552574	green3	2	0.053806	0.27143
MGH36_P3_C10	NA	black	0	0.042644	0
MGH53_P2_F01	-0.748496086942	red	1	2.3522	0.17632
MGH53_P4_H05	NA	black	0	0.64155	0
MGH53_P4_G10	0.402623862125	red	1	0.079975	0.54696
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0	0.32423
MGH53_P1_D09	0.334040786658	red	1	0.052416	0.6526
MGH54_P2_B08	NA	black	0	0.089498	0
MGH54_P2_G05	-0.108365286783	red	1	1.4087	0.42438
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	-1.47517984308	red	1	0.064883	3.0611
MGH36_P5_E12	0.639889708592	green3	2	0.035624	0.25217
MGH53_P4_A12	-1.15972933202	red	1	3.6663	0.44679
MGH36_P9_F01	NA	black	0	0	1.4772
MGH36_P3_H10	NA	black	0	0.038436	0
MGH36_P3_H02	NA	black	0	0.12168	0
MGH36_P5_C10	NA	black	0	0.12565	0
MGH54_P2_B05	NA	black	0	2.2672	0
MGH36_P2_F09	0.407900301278	green3	2	0.1177	0.52005
MGH53_P4_A05	0.451666546521	green3	2	0.090853	0.47301
MGH54_P2_H10	NA	black	0	0	0.27023
MGH53_P4_E06	NA	black	0	2.1345	0
MGH53_P4_D12	0.65229807537	red	1	0.088142	0.19409
MGH54_P2_H07	NA	black	0	0.051024	0
MGH53_P2_E03	0.586927929552	green3	2	0.062122	0.30451
MGH53_P1_A05	0.550811735553	green3	2	0.034216	0.37184
MGH36_P7_D12	NA	black	0	0.031395	0
MGH53_P4_H03	NA	black	0	0	2.2388
MGH53_P2_E05	NA	black	0	0.070389	0
MGH36_P4_H11	0.640238456832	green3	2	0.049631	0.24123
MGH53_P1_B01	-0.161995286108	red	1	1.4558	0.25942
MGH54_P2_G03	0.614010144177	green3	2	0.055196	0.27262
MGH53_P2_F12	NA	black	0	0	4.7907
MGH36_P4_C09	0.681165065898	red	1	0.069015	0.16993
MGH36_P5_C08	-0.467632731315	red	1	2.2863	0.49672
MGH36_P4_H06	NA	black	0	0.28806	0
MGH36_P10_E01	NA	black	0	0.074505	0
MGH36_P8_E12	0.612250043036	green3	2	0.055196	0.27501
MGH53_P2_C10	-0.455481302406	red	1	0.23879	1.8262
MGH36_P4_H08	0.679334482881	red	1	0.044044	0.19283
MGH36_P7_F07	0.61793920466	green3	2	0.014355	0.29631
MGH54_P2_A09	0.705300064815	red	1	0.035624	0.16479
MGH36_P6_H11	NA	black	0	0	0.28924
